name,start_time,end_time,day,location
Rock & Rhyme,10:30,11:00,Tuesday,Bridgewater Library
Rock & Rhyme,10:30,11:00,Thursday,Cygnet Library
Rock & Rhyme,10:30,11:00,Wednesday,Glenorchy Library
Rock & Rhyme,10:30,11:00,Friday,Hobart Library
Rock & Rhyme,10:30,11:00,Tuesday,Huonville Library
Rock & Rhyme,10:30,11:00,Monday,Kingston Library
Rock & Rhyme,10:30,11:00,Tuesday,New Norfolk Library
Rock & Rhyme,10:30,11:00,Thursday,Rosny Library
Rock & Rhyme,10:30,11:00,Tuesday,Sorell Library
Rock & Rhyme,10:30,11:00,Tuesday,George Town Library
Rock & Rhyme,10:30,11:00,Monday,Launceston Library
Rock & Rhyme,10:30,11:00,Wednesday,Longford Library
Rock & Rhyme,10:30,11:00,Tuesday,Scottsdale Library
Rock & Rhyme,10:30,11:00,Friday,Burnie Library
Rock & Rhyme,10:30,11:00,Thursday,Devonport Library
Rock & Rhyme,10:30,11:00,Tuesday,Queenstown Library
Rock & Rhyme,10:30,11:00,Thursday,Smithton Library
Rock & Rhyme,10:30,11:00,Wednesday,Ulverstone Library
Rock & Rhyme,10:30,11:00,Friday,Wynyard Library
Storytime,10:30,11:00,Monday,Bridgewater Library
Storytime,10:30,11:00,Wednesday,Cygnet Library
Storytime,10:30,11:00,Tuesday,Glenorchy Library
Storytime,10:30,11:00,Wednesday,Hobart Library
Storytime,10:30,11:00,Thursday,Huonville Library
Storytime,10:30,11:00,Wednesday,Kingston Library
Storytime,10:30,11:00,Thursday,New Norfolk Library
Storytime,10:30,11:00,Wednesday,Rosny Library
Storytime,10:30,11:00,Thursday,Sorell Library
Storytime,10:30,11:00,Wednesday,George Town Library
Storytime,10:30,11:00,Thursday,Launceston Library
Storytime,10:30,11:00,Tuesday,Longford Library
Storytime,10:30,11:00,Thursday,Scottsdale Library
Storytime,10:30,11:00,Wednesday,Burnie Library
Storytime,10:30,11:00,Tuesday,Devonport Library
Storytime,10:30,11:00,Monday,Queenstown Library
Storytime,10:30,11:00,Wednesday,Smithton Library
Storytime,10:30,11:00,Monday,Ulverstone Library
Storytime,10:30,11:00,Tuesday,Wynyard Library
